,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
1,990.0,c5:7b:cc:06:8a:51,-98.0,28.0,10.6,0.2,a,26115986,58.66407013,16.45530319,193.8000031,1.0,584419.3044392623,6503562.821902343,140.6527242105238
0,990.0,52:d9:e5:be:00:d9,-93.0,17.0,10.6,0.2,a,26115987,58.66407013,16.45530319,193.8000031,0.0,584419.3044392623,6503562.821902343,91.82542835656287
2,995.0,c5:7b:cc:06:8a:51,-94.5,28.0,10.6,0.4,a,26115989,58.66410446,16.45536613,193.8000031,1.0,584422.8721689472,6503566.723020749,104.35626297753913
4,1000.0,c5:7b:cc:06:8a:51,-94.5,43.0,10.6,0.4,a,26116012,58.664064405000005,16.455281255000003,192.94999695,1.0,584418.0459882217,6503562.156940405,104.35626297753913
5,1000.0,d4:5c:f0:4d:b8:06,-100.0,27.0,10.6,0.2,Q_670E335B,26116013,58.6640625,16.45527458,192.8999939,3.0,584417.6634245529,6503561.9364589155,166.81005372000593
3,1000.0,61:f8:73:54:ea:25,-94.0,18.0,10.6,0.2,a,26116015,58.66406631,16.45528793,193.0,4.0,584418.4285518472,6503562.377421929,100.0
9,1005.0,c5:7b:cc:06:8a:51,-97.0,28.0,10.6,0.4,a,26116018,58.66407776,16.45529556,193.3999939,1.0,584418.8434492716,6503563.661733687,129.1549665014884
8,1005.0,65:35:ab:b3:d1:e0,-101.0,18.0,10.6,0.2,a,26116019,58.66407776,16.45529556,193.3999939,5.0,584418.8434492716,6503563.661733687,181.65997883753266
7,1005.0,61:f8:73:54:ea:25,-95.0,18.0,10.6,0.2,a,26116022,58.66407776,16.45529556,193.3999939,4.0,584418.8434492716,6503563.661733687,108.90229622637305
6,1005.0,30:af:7e:d7:e2:c4,-98.5,25.0,2.915008999999941,0.4,a,26116023,58.66418457,16.455327985,190.19999695,54.0,584420.4661416387,6503575.593515949,146.7799267622069
11,1005.0,e8:ee:cc:01:eb:b7,-101.0,19.0,10.6,0.2,a,26116177,58.66429138,16.45536041,187.0,28.0,584422.0888221967,6503587.525299149,181.65997883753266
10,1005.0,d4:5c:f0:4d:b8:06,-97.0,27.0,10.6,0.2,Q_670E335B,26116178,58.66429138,16.45536041,187.0,3.0,584422.0888221967,6503587.525299149,129.1549665014884
12,1010.0,d4:5c:f0:4d:b8:06,-94.0,27.0,10.6,0.2,Q_670E335B,26116205,58.66440201,16.45538712,189.3999939,3.0,584423.3707819509,6503599.875163828,100.0
15,1015.0,d4:5c:f0:4d:b8:06,-99.0,27.0,10.6,0.4,Q_670E335B,26116208,58.66452026,16.45541954,193.0,3.0,584424.9655109529,6503613.080537787,153.17404637020798
14,1015.0,65:35:ab:b3:d1:e0,-97.0,18.0,10.6,0.2,a,26116210,58.66452026,16.45541954,193.0,5.0,584424.9655109529,6503613.080537787,129.1549665014884
13,1015.0,52:d9:e5:be:00:d9,-97.0,17.0,10.6,0.2,a,26116212,58.66452026,16.45541954,193.0,0.0,584424.9655109529,6503613.080537787,129.1549665014884
16,1015.0,f5:f7:c7:9e:a5:1f,-99.0,29.0,10.6,0.2,a,26116213,58.66452026,16.45541954,193.0,12.0,584424.9655109529,6503613.080537787,153.17404637020798
18,1020.0,f5:f7:c7:9e:a5:1f,-99.0,29.0,10.6,0.2,a,26116216,58.66470337,16.4554615,192.6000061,12.0,584426.9568552738,6503633.518672272,153.17404637020798
17,1020.0,1b:b2:42:44:72:86,-100.0,31.0,10.6,0.2,a,26116217,58.66470337,16.4554615,192.6000061,6.0,584426.9568552738,6503633.518672272,166.81005372000593
21,1025.0,52:d9:e5:be:00:d9,-99.0,17.0,2.838361999999961,1.0,a,26116254,58.66471863,16.45546684,197.28000186,0.0,584427.2297130682,6503635.224263292,153.17404637020798
